Frase,Autor,Cat1,Cat2,Cat3,Cat4
"En el corazón de todos los inviernos vive una primavera palpitante, y detrás de cada noche, viene una aurora sonriente.","Khalil Gibran (1883-1931) Ensayista, novelista y poeta libanés.",CUALIDADES,COMPRENSIÓN,,
Quien no comprende una mirada tampoco comprenderá una larga explicación.,Proverbio árabe,SENTIMIENTOS,QUERER,,
"Cuando quieres realmente una cosa, todo el Universo conspira para ayudarte a conseguirla.",Paulo Coelho (1947-?) Escritor brasileño.,CUALIDADES,PACIENCIA,,
La paciencia es un árbol de raíz amarga pero de frutos muy dulces.,Proverbio persa,SENTIMIENTOS,AMOR,AMAR,
Puede uno amar sin ser feliz; puede uno ser feliz sin amar; pero amar y ser feliz es algo prodigioso.,Honoré de Balzac (1799-1850) Escritor francés.,CUALIDADES,PERSEVERANCIA,,
"Si te caes siete veces, levántate ocho.",Proverbio chino,SENTIMIENTOS,MIEDO,,
Sólo una cosa vuelve un sueño imposible: el miedo a fracasar.,Paulo Coelho (1947-?) Escritor brasileño.,SENTIMIENTOS,CELOS,,
"El que es celoso, no es nunca celoso por lo que ve; con lo que se imagina basta.",Jacinto Benavente (1866-1954) Dramaturgo español.,SENTIMIENTOS,AMOR,,
Quien bien te quiere te hará llorar.,Refrán,SENTIMIENTOS,AMOR,PRIMER AMOR,
"Al primer amor se le quiere más, a los otros se les quiere mejor.",Antoine de Saint-Exupéry (1900-1944) Escritor francés.,SENTIMIENTOS,AMOR,,
"Duda que sean fuego las estrellas, duda que el sol se mueva, duda que la verdad sea mentira, pero no dudes jamás de que te amo.",William Shakespeare (1564-1616) Escritor británico.,CUALIDADES,GRANDEZA,,
Las grandes almas tienen voluntades; las débiles tan solo deseos.,Proverbio chino,SENTIMIENTOS,AMOR,AMAR,
"Ama como puedas, ama a quien puedas, ama todo lo que puedas. No te preocupes de la finalidad de tu amor.","Amado Nervo (1870-1919) Poeta, novelista y ensayista mexicano.",SENTIMIENTOS,AMOR,ENAMORARSE,
"Cuando se habla de estar enamorado como un loco se exagera; en general, se está enamorado como un tonto.",Noel Clarasó (1899-1985) Escritor español.,SENTIMIENTOS,AMOR,,
"No existe el amor, sino las pruebas de amor, y la prueba de amor a aquel que amamos es dejarlo vivir libremente.",Anónimo,SENTIMIENTOS,AMISTAD,AMIGOS,
El verdadero amigo es aquél que está a tu lado cuando preferiría estar en otra parte.,Len Wein,SOCIEDAD,EDUCACIÓN,ESTUDIOS,
"Nunca consideres el estudio como una obligación, sino como una oportunidad para penetrar en el bello y maravilloso mundo del saber.",Albert Einstein (1879-1955) Científico alemán nacionalizado estadounidense.,MISCELÁNEA,DESTINO,,
