Frase,Autor,Cat1,Cat2,Cat3,Cat4
"La tarea del educador moderno no es podar las selvas, sino regar los desiertos.",Clive Staples Lewis (1898-1963) Escritor británico.,SENTIMIENTOS,ESPERANZA,,
La política ha dejado de ser una política de ideales para convertirse en una política de programas.,Enrique Tierno Galván (1918-1986) Político e intelectual español.,SENTIMIENTOS,ESPERANZA,,
"El dolor es, él mismo, una medicina.",William Cowper (1731-1800) Poeta británico.,ARTE,ARQUITECTURA,,
No hay nada tan rápido como un sentimiento de antipatía.,Alfred de Musset (1810-1857) Poeta francés.,SOCIEDAD,GUERRA,,
"Si me ofreciesen la sabiduría con la condición de guardarla para mí sin comunicarla a nadie, no la querría.",Séneca (2 AC-65) Filósofo latino.,SOCIEDAD,LIBERTAD,,
El secreto de un matrimonio feliz es perdonarse mutuamente el haberse casado.,"Sacha Guitry (1885-1957) Director, actor y guionista francés.",SOCIEDAD,EDUCACIÓN,,
"El secreto de la existencia no consiste solamente en vivir, sino en saber para qué se vive.",Fiodor Dostoievski (1821-1881) Novelista ruso.,SOCIEDAD,FAMILIA,HIJOS,
"El amor no sólo debe ser una llama, sino una luz.","Henry David Thoreau (1817-1862) Escritor, poeta y pensador.",NATURALEZA,SER HUMANO,CREER,
Muchas cosas se reputan imposibles antes de haberse realizado.,Plinio el Viejo (23-79) Caius Plinius Secundus. Escritor latino.,NATURALEZA,VIDA,,
"Si la pena no muere, se la mata.",Gregorio Marañón (1887-1960) Médico y escritor español.,CUALIDADES,SUBLIME,,
La peor decisión es la indecisión.,Benjamin Franklin (1706-1790) Estadista y científico estadounidense.,MISCELÁNEA,LLORAR,,
Muchos habrían podido llegar a la sabiduría si no se hubiesen creído ya suficiente sabios.,Juan Luis Vives (1492-1540) Humanista y filósofo español.,MISCELÁNEA,SIN CLASIFICAR,,
"La razón no se sometería nunca, si no se juzgase que hay ocasiones en que debe someterse.",San Agustín (354-430) Obispo y filósofo.,PENSAMIENTO Y RAZÓN,LOCURA,,
Sólo falta el tiempo a quien no sabe aprovecharlo.,"Gaspar Melchor de Jovellanos (1744-1811) Literato, economista y político español.",SENTIMIENTOS,ABURRIMIENTO,,
"La esperanza es como el sol, que arroja todas las sombras detrás de nosotros.",Samuel Smiles (1812-1904) Escritor y reformista escocés.,ARTE,LITERATURA,LIBROS,
"Los vuelos naturales del espíritu humano no van de placer a placer, sino de una esperanza a otra.",Samuel Johnson (1709-1784) Escritor inglés.,PENSAMIENTO Y RAZÓN,VERDAD,,
El ocaso de una gran esperanza es como el ocaso del sol: con ella se extingue el esplendor de nuestra vida.,Henry Wadsworth Longfellow (1807-1882) Poeta estadounidense.,CUALIDADES,SABIDURÍA,SABIO,
La arquitectura es el testigo menos sobornable de la historia.,Octavio Paz (1914-1998) Poeta y ensayista mexicano.,SOCIEDAD,TRABAJO,TRABAJAR,
"Se tardan veinte o más años de paz para hacer a un hombre, y bastan veinte segundos de guerra para destruirlo.",Balduino I (1930-1993) Rey de Bélgica.,MISCELÁNEA,PELIGRO,,
El único hombre que es realmente libre es aquel que puede rechazar una invitación a comer sin dar una excusa.,Jules Renard (1864-1910) Escritor y dramaturgo francés.,MISCELÁNEA,ESCLAVOS,,
Abrid escuelas y se cerraran cárceles.,Concepción Arenal (1820-1893) Escritora y socióloga española.,SOCIEDAD,LEYES,JUSTICIA,
"Los hijos son tormento, y no otra cosa.",Leon Tolstoi (1828-1910) Escritor ruso.,PENSAMIENTO Y RAZÓN,RAZÓN,,
"Creemos, sobretodo porque es más fácil creer que dudar, y además porque la fe es la hermana de la esperanza y de la caridad.",Alejandro Dumas (1802-1870) Escritor francés.,PENSAMIENTO Y RAZÓN,VERDAD,,
La vida consiste en la comprensión de la verdad.,Leon Tolstoi (1828-1910) Escritor ruso.,MISCELÁNEA,AYUDAR,,
Hay que ser sublime sin interrupción. El dandy debe vivir y morir ante el espejo.,"Charles Baudelaire (1821-1867) Escritor, poeta y crítico francés.",CUALIDADES,CONCIENCIA,,
A veces el llanto hace más beneficio que la risa.,Pedro Muñoz Seca (1881-1936) Dramaturgo español.,NATURALEZA,MUERTE,,
"Con la primera copa el hombre bebe vino; con la segunda el vino bebe vino, y con la tercera, el vino bebe al hombre.",Proverbio japonés,SOCIEDAD,TRABAJO,,
Definitivamente habrá que rendirse a la evidencia de que este mundo está loco.,"Sacha Guitry (1885-1957) Director, actor y guionista francés.",SOCIEDAD,GOBIERNO,,
El aburrimiento es lo que queda de los pensamientos cuando las pasiones son eliminadas de ellos.,Alain (1868-1951) Filósofo y ensayista francés.,CUALIDADES,VALOR,,
El hallazgo afortunado de un buen libro puede cambiar el destino de un alma.,Marcel Prévost (1862-1941) Escritor francés.,TIEMPO,VEJEZ,,
"El hombre que no teme a las verdades, nada debe temer a las mentiras.",Thomas Jefferson (1743-1826) Político Estadounidense.,TIEMPO,INFANCIA,,
El hombre sabio no lo es en todas las cosas.,Michel de Montaigne (1533-1592) Escritor y filósofo francés.,NATURALEZA,SER HUMANO,,
"El horizonte es negro, la tempestad amenaza; trabajemos. Este es el único remedio para el mal del siglo.",André Maurois (1885-1967) Novelista y ensayista francés.,SOCIEDAD,PODER,,
"El retirarse no es huir, ni el esperar es cordura cuando el peligro sobrepuja a la esperanza.",Miguel de Cervantes (1547-1616) Escritor español.,NATURALEZA,SER HUMANO,REÍR,
"El ruiseñor se niega anidar en la jaula, para que la esclavitud no sea el destino de su cría.","Khalil Gibran (1883-1931) Ensayista, novelista y poeta libanés.",SOCIEDAD,DINERO,,
Es difícil hacer justicia a quien nos ha ofendido.,Simón Bolívar (1783-1830) Militar y político de origen venezolano.,MISCELÁNEA,AYUDAR,,
"Fuertes razones, hacen fuertes acciones.",William Shakespeare (1564-1616) Escritor británico.,DEFECTOS,VIOLENCIA,,
"He comprendido que hay dos verdades, una de las cuales jamás debe ser dicha.",Albert Camus (1913-1960) Escritor francés.,CUALIDADES,BONDAD,,
Indudablemente nadie se ocupa de quien no se ocupa de nadie.,Thomas Jefferson (1743-1826) Político Estadounidense.,SENTIMIENTOS,AMOR,AMAR,
"La conciencia es la voz del alma; las pasiones, la del cuerpo.",William Shakespeare (1564-1616) Escritor británico.,MISCELÁNEA,INJUSTICIA,,
"La muerte os espera en todas partes; pero, si sois prudentes, en todas partes la esperáis vosotros.",San Bernardo de Claraval (1091-1153) Eclesiástico francés.,SENTIMIENTOS,MIEDO,TEMOR,
La oxidación por falta de uso gasta mucho más las herramientas que el propio trabajo.,Benjamin Franklin (1706-1790) Estadista y científico estadounidense.,NATURALEZA,SER HUMANO,SEXO,
Los buenos gobiernos se conocen cuando lo que hacen vale más que lo que sus opositores dicen.,Antonio Maura y Montaner (1853-1925) Estadista español.,NATURALEZA,MUERTE,,
Los cobardes agonizan muchas veces antes de morir... Los valientes ni se enteran de su muerte.,Julio César (100 AC-44 AC) Emperador romano.,MISCELÁNEA,LLORAR,,
Los que en realidad aman la vida son aquellos que están envejeciendo.,Sófocles (495AC-406AC) Poeta trágico griego.,SENTIMIENTOS,AMOR,CORAZÓN,
Que ni una palabra ni una mirada obscena manchen la casa en donde haya un niño.,Juvenal (67-127) Poeta satírico romano.,SOCIEDAD,MATRIMONIO,,
No tarda nueve meses sino sesenta años en formarse un hombre.,André Malraux (1901-1976) Novelista y político francés.,SOCIEDAD,RELIGIÓN,,
"Para quienes ambicionan el poder, no existe una vía media entre la cumbre y el precipicio.",Tácito (55-115) Historiador romano.,SENTIMIENTOS,AMOR,CORAZÓN,
Peligrosos son los grandes hombres de los que uno no se puede reír.,Giovanni Guareschi (1908-1968) Periodista y escritor italiano.,PENSAMIENTO Y RAZÓN,LOCURA,,
"Perder el dinero es a menudo un delito; adquirirlo por malas artes es aún peor, y malgastarlo es lo peor de todo.",John Ruskin (1819-1900) Crítico y escritor británico.,SENTIMIENTOS,AMOR,AMAR,
"Quien toma bienes de los pobres es un asesino de la caridad. Quien a ellos ayuda, es un virtuoso de la justicia.",San Agustín (354-430) Obispo y filósofo.,SENTIMIENTOS,,,
"Quisiera sufrir todas las humillaciones, todas las torturas, el ostracismo absoluto y hasta la muerte, para impedir la violencia.",Mahatma Gandhi (1869-1948) Político y pensador indio.,SOCIEDAD,POLÍTICA,ELECCIONES,
"Si hacemos el bien por interés, seremos astutos, pero nunca buenos.","Cicerón (106 AC-43 AC) Escritor, orador y político romano.",DEFECTOS,EGOÍSMO,,
Trata de amar al prójimo. Ya me dirás el resultado.,Jean Paul Sartre (1905-1980) Filósofo y escritor francés.,PENSAMIENTO Y RAZÓN,PENSAMIENTO,,
Una injusticia hecha al individuo es una amenaza hecha a toda la sociedad.,Montesquieu (1689-1755) Escritor y político francés.,SOCIEDAD,EDUCACIÓN,ENSEÑAR,
"Ya a mi edad no se le teme a nadie, cuando no se le teme a la muerte.","Alberto Lleras Camargo (1906-1990) Político, periodista y diplomático colombiano.",PENSAMIENTO Y RAZÓN,ARGUMENTO,,
Los hombres temen más el sexo que las mujeres.,Arthur Miller (1915-2005) Dramaturgo estadounidense.,DEFECTOS,VIOLENCIA,,
Es más cruel temer a la muerte que morir.,Publio Siro (Siglo I AC-?) Poeta dramático romano.,CUALIDADES,ECONOMÍA,,
Repara uno sus faltas cuando llora.,Jacques Benigne Bossuet (1627-1704) Clérigo católico francés y escritor.,SOCIEDAD,MEDIOS,TELEVISIÓN,
Ningún poder humano puede jamás violentar el sagrario impenetrable de la libertad del corazón.,Fénelon (1651-1715) Escritor y teólogo francés.,SOCIEDAD,POLÍTICA,,
Nunca aconsejéis a un hombre que desconfíe de una mujer con la que ya esté casado. Es demasiado tarde para él.,Lord Byron (1788-1824) Poeta británico.,SOCIEDAD,TRABAJO,,
La religión sirve para ayudarnos y consolarnos ante unos problemas que no tendríamos si no existiese la religión.,Jaume Perich (1941-1995) Humorista español.,SOCIEDAD,POLÍTICA,,
Tratemos de ver con el corazón.,Franz Liszt (1811-1886) Pianista y compositor austriaco de origen húngaro.,SOCIEDAD,MEDIOS,PRENSA,
"Es cosa admirable que todos los grandes hombres tengan siempre alguna ventolera, algún granito de locura mezclado con su ciencia.",Molière (1622-1673) Comediografo francés.,MISCELÁNEA,FALSEDAD,,
Ama si quieres influir.,Doménico Cieri Estrada (1954-?) Escritor mexicano.,SOCIEDAD,PUEBLO,,
Las personas que comparten y expresan sus sentimientos se adaptan mejor a los cambios.,Luis Rojas Marcos (1943-?) Psiquiatra español.,MISCELÁNEA,HUIR,,
"Ante una lista de candidatos se piensa que, felizmente, sólo puede ser elegido uno.",Noel Clarasó (1899-1985) Escritor español.,SENTIMIENTOS,AMOR,,
El hombre es un lobo para el hombre.,Thomas Hobbes (1588-1679) Filósofo y tratadista político inglés.,SENTIMIENTOS,FELICIDAD,FELIZ,
El pensamiento no es más que un relámpago en medio de una larga noche. Pero ese relámpago lo es todo.,Henri Poincaré (1854-1912) Matemático francés.,MISCELÁNEA,DESCUBRIMIENTO,,
Enseñar es aprender dos veces.,Joseph Joubert (1754-1824) Ensayista y moralista francés.,SOCIEDAD,LIBERTAD,,
No te pongas en el lado malo de un argumento simplemente porque tu oponente se ha puesto en el lado correcto.,Baltasar Gracián (1601-1658) Escritor español.,MISCELÁNEA,TRAICIÓN,,
Los medios violentos nos darán una libertad violenta.,Mahatma Gandhi (1869-1948) Político y pensador indio.,SENTIMIENTOS,DESCONFIANZA,,
Cuida de los pequeños gastos; un pequeño agujero hunde un barco.,Benjamin Franklin (1706-1790) Estadista y científico estadounidense.,PENSAMIENTO Y RAZÓN,MENTIRAS,,
La televisión es el único somnífero que se toma por los ojos.,Vittorio de Sica (1901-1974) Cineasta italiano.,SENTIMIENTOS,NOSTALGIA,,
"En política hay que sanar los males, jamás vengarlos.",Napoleón III (1808-1873) Emperador de Francia.,CUALIDADES,COMPRENSIÓN,,
El trabajo que nunca se empieza es el que tarda más en finalizarse.,J. R. R. Tolkien (1892-1973) Escritor británico.,SENTIMIENTOS,AMOR,AMAR,
En política se está en contacto con la mugre y hay que lavarse para no oler mal.,Enrique Tierno Galván (1918-1986) Político e intelectual español.,TIEMPO,FUTURO,,
El periodismo es el mejor oficio del mundo.,Gabriel García Márquez (1927-2014) Escritor colombiano.,SOCIEDAD,MORAL,,
Las vanas pretensiones caen al suelo como las flores. Lo falso no dura mucho.,"Cicerón (106 AC-43 AC) Escritor, orador y político romano.",ARTE,LITERATURA,,
El que es elegido príncipe con el favor popular debe conservar al pueblo como amigo.,"Nicolás Maquiavelo (1469-1527) Historiador, político y teórico italiano.",ARTE,CINE,,
Huyo de lo que me sigue; voy detrás de lo que huye de mí.,Ovidio (43 AC-17) Poeta latino.,SENTIMIENTOS,AMISTAD,,
No hay amor sin temor de ofender o perder lo que se ama.,Francisco de Quevedo (1580-1645) Escritor español.,ARTE,LITERATURA,,
Nadie puede ser feliz si no se aprecia a sí mismo.,Jean Jacques Rousseau (1712-1778) Filósofo francés.,CUALIDADES,SABIDURÍA,,
En algún sitio algo increíble espera ser descubierto.,Carl Sagan (1934-1996) Astrónomo estadounidense.,ARTE,OBRAS DE ARTE,,
La libertad es lo que haces con lo que te han hecho.,Jean Paul Sartre (1905-1980) Filósofo y escritor francés.,ARTE,,,
"Es fácil esquivar la lanza, mas no el puñal oculto.",Proverbio chino,SENTIMIENTOS,AMISTAD,AMIGOS,
Debemos desconfiar unos de otros. Es nuestra única defensa contra la traición.,Tennessee Williams (1911-1983) Dramaturgo estadounidense.,MISCELÁNEA,QUEJARSE,,
Una mentira no tendría sentido si la verdad no fuera percibida como peligrosa.,Alfred Adler (1870-1937) Psicólogo y psiquiatra austriaco.,SOCIEDAD,TRABAJO,,
"Nada hay tan dulce como la patria y los padres propios, aunque uno tenga en tierra extraña y lejana la mansión más opulenta.",Homero (VIII AC-VIII AC) Poeta y rapsoda griego.,CUALIDADES,EFICACIA,,
"Y en mi locura encontré la libertad y la seguridad que da el que no le entiendan a uno, pues quienes nos comprenden esclavizan algo de nosotros.","Khalil Gibran (1883-1931) Ensayista, novelista y poeta libanés.",CIENCIAS,MEDICINA,,
Es al separarse cuando se siente y se comprende la fuerza con que se ama.,Fiodor Dostoievski (1821-1881) Novelista ruso.,ARTE,LITERATURA,,
"Esta es la primera época que ha prestado mucha atención al futuro, lo cual no deja de ser irónico, ya que tal vez no tengamos ninguno.",Arthur C. Clarke (1917-2008) Escritor inglés de ciencia ficción.,ARTE,PINTURA,,
"Hay que ser buenos no para los demás, sino para estar en paz con nosotros mismos.",Achile Tournier (1847-1906) Escritor francés,SENTIMIENTOS,SOLEDAD,,
La eternidad es una de las raras virtudes de la literatura.,Adolfo Bioy Casares (1914-1999) Escritor argentino.,CIENCIAS,MEDICINA,,
"El cine no es un trozo de vida, sino un pedazo de pastel.",Alfred Hitchcock (1899-1980) Director de cine británico.,ARTE,MÚSICA,,
Mi patria son los amigos.,Alfredo Bryce Echenique (1939-?) Escritor peruano.,SOCIEDAD,MEDIOS,TELEVISIÓN,
Ser escritor es robarle vida a la muerte.,Alfredo Conde (1945-?) Escritor español.,CUALIDADES,INDIVIDUALIDAD,,
Saber que se sabe lo que se sabe y saber que no se sabe lo que no se sabe: sabiduría.,Alphonse Karr (1808-1890) Escritor francés.,ARTE,LITERATURA,LIBROS,
"Las obras maestras del arte tienen a los ricos por esposos, pero a los pobres por amantes.",Anónimo,CUALIDADES,CARIDAD,,
El que escribe en el alma de un niño escribe para siempre.,Anónimo,MISCELÁNEA,CONSEJO,,
"El que recibe a sus amigos y no presta ningún cuidado personal a la comida que ha sido preparada, no merece tener amigos.",Anthelme Brillat-Savarín (1755-1826) Gastrónomo y escritor francés.,CUALIDADES,CASTIDAD,,
No debes quejarte de la nieve en el tejado de tu vecino cuando también cubre el umbral de tu casa.,Confucio (551 AC-478 AC) Filósofo chino.,PENSAMIENTO Y RAZÓN,RAZÓN,,
Encuentra la felicidad en el trabajo o no serás feliz.,Cristóbal Colón,MISCELÁNEA,ELOGIOS,,
¿Que importa que el gato sea blanco o negro con tal de que cace ratones?.,Deng Xiaoping (1904-1997) Político chino.,MISCELÁNEA,FANTASÍA,,
"Los médicos trabajan para conservarnos la salud, y los cocineros para destruirla, pero estos últimos están más seguros de lograr su intento.",Denis Diderot (1713-1784) Escritor francés.,NATURALEZA,VIDA,SENTIDO DE LA VIDA,
"La enorme multiplicación de libros, de todas las ramas del conocimiento, es uno de los mayores males de nuestra época.",Edgar Allan Poe (1809-1849) Escritor estadounidense.,ARTE,LITERATURA,,
Un cuadro debe ser pintado con el mismo sentimiento con que un criminal comete un crimen.,Edgar Degas (1834-1917) Pintor francés.,MISCELÁNEA,SOMBRA,,
Nadie es más solitario que aquél que nunca ha recibido una carta.,Elías Canetti (1905-1994) Autor búlgaro en lengua alemana.,SOCIEDAD,BUROCRACIA,,
La medicina es el arte de acompañar al sepulcro con palabras griegas.,Enrique Jardiel Poncela (1901-1952) Escritor español.,MISCELÁNEA,FRACASO,,
La música es la voluptuosidad de la imaginación.,Eugène Delacroix (1798-1863) Pintor francés.,DEFECTOS,,,
La televisión es el espejo donde se refleja la derrota de todo nuestro sistema cultural.,Federico Fellini (1920-1993) Director de cine italiano.,SOCIEDAD,RELIGIÓN,,
El secreto para vivir en paz con todos consiste en el arte de comprender a cada uno según su individualidad.,Federico Luis Jahn (1778-1852) Educador alemán.,ARTE,LITERATURA,,
"Hay libros cortos que, para entenderlos como se merecen, se necesita una vida muy larga.",Francisco de Quevedo (1580-1645) Escritor español.,SENTIMIENTOS,AMISTAD,,
"Yo creo que el mejor medio de hacer bien a los pobres no es darles limosna, sino hacer que puedan vivir sin recibirla.",Benjamin Franklin (1706-1790) Estadista y científico estadounidense.,SOCIEDAD,COSTUMBRE,,
El aconsejar es un oficio tan común que lo usan muchos y lo saben hacer muy pocos.,Fray Antonio de Guevara (1480-1545) Escritor y eclesiástico español.,SOCIEDAD,LIBERTAD,,
"En algunos la castidad es una virtud, en muchos es casi un vicio.",Friedrich Nietzsche (1844-1900) Filosofo alemán.,MISCELÁNEA,,,
El hombre que pretende obrar guiado sólo por la razón esta condenado a obrar muy raramente.,Gustave Le Bon (1841-1931) Psicólogo francés.,DEFECTOS,VANIDAD,,
Los aduladores se parecen a los amigos como los lobos a los perros.,"George Chapman (1559-1634) Poeta, dramaturgo y traductor inglés.",ARTE,LITERATURA,LECTURA,
"La fantasía, aislada de la razón, sólo produce monstruos imposibles. Unida a ella, en cambio, es la madre del arte y fuente de sus deseos.",Francisco de Goya,PENSAMIENTO Y RAZÓN,SUEÑOS,,
En el fondo son las relaciones con las personas lo que da sentido a la vida.,Karl Wilhelm Von Humboldt (1767-1835) Político prusiano.,ARTE,MÚSICA,,
El recuerdo que deja un libro es más importante que el libro mismo.,Gustavo Adolfo Bécquer (1836-1870) Poeta español.,SOCIEDAD,TRABAJO,,
La sombra no existe; lo que tu llamas sombra es la luz que no ves.,Henri Barbusse (1873-1935) Novelista francés.,MISCELÁNEA,OBJETIVO,,
La burocracia es una máquina gigantesca manejada por pigmeos.,Honoré de Balzac (1799-1850) Escritor francés.,SENTIMIENTOS,AMISTAD,AMIGOS,
"El fracaso es, a veces, más fructífero que el éxito.",Henry Ford (1863-1947) Industrial estadounidense.,SOCIEDAD,MEDIOS,PRENSA,
Un hombre sin defectos es un tonto o un hipócrita del que debemos desconfiar.,Joseph Joubert (1754-1824) Ensayista y moralista francés.,PENSAMIENTO Y RAZÓN,PENSAMIENTO,PENSAR,
Dios perdonará a los que le niegan; pero ¿qué hará con los que cometen maldad en su nombre?.,Jacinto Octavio Picón (1852-1923) Escritor español.,PENSAMIENTO Y RAZÓN,VERDAD,,
Los libros son las abejas que llevan el polen de una inteligencia a otra.,James Russell Lowell (1819-1891) Poeta y escritor estadounidense.,MISCELÁNEA,EJEMPLOS,,
"Como se sabe, los negocios pueden dar dinero, pero la amistad raramente lo hace.",Jane Austen (1775-1817) Escritora británica.,SENTIMIENTOS,ENEMISTAD,,
El hombre nunca mira al cielo porque siempre lo tiene a la vista.,Jean de Monet (1744-1829) Caballero de Lamarck. Biólogo,SOCIEDAD,MUJERES,,
La libertad existe tan sólo en la tierra de los sueños.,Friedrich Schiller (1759-1805) Poeta y dramaturgo alemán,CUALIDADES,EXPERIENCIA,,
La imprenta es un ejército de veintiséis soldados de plomo con el que se puede conquistar el mundo.,Johann Gütemberg,NATURALEZA,SER HUMANO,HABLAR,
Ciertos libros parecen haber sido escritos no para aprender de ellos sino para que se reconozca lo que sabía su autor.,Goethe (1749-1832) Poeta y dramaturgo alemán.,MISCELÁNEA,PROMESA,,
"La lectura es la gran proveedora de argumentos, la clave para que los demás te escuchen.",José Miguel Monzón (1956-?) Humorista español.,TIEMPO,,,
El sueño es un arte poético involuntario.,Immanuel Kant (1724-1804) Filosofo alemán.,MISCELÁNEA,ERRORES,,
"Desde que el hombre existe ha habido música. Pero también los animales, los átomos y las estrellas hacen música.",Karlheinz Stockhausen (1928-2007) Compositor alemán.,SOCIEDAD,TRABAJO,,
"Amar a la vida a través del trabajo, es intimar con el más recóndito secreto de la vida.","Khalil Gibran (1883-1931) Ensayista, novelista y poeta libanés.",MISCELÁNEA,"TIERRA, LA",,
"Si no sabes donde vas, acabarás en otra parte.",Laurence J. Peter (1919-1990) Profesor y escritor canadiense.,PENSAMIENTO Y RAZÓN,MENTIRAS,,
"Puedes censurar a un amigo en confianza, pero debes alabarlo delante de los demás.","Leonardo Da Vinci (1452-1519) Pintor, escultor e inventor italiano.",MISCELÁNEA,INJUSTICIA,,
"Los periodistas deben criticar, pero no azotar a nadie.",Luis Herrero (1955-?) Periodista español.,MISCELÁNEA,VENENO,,
"Aquel que dice cuanto piensa, piensa muy poco lo que dice.",Mariano Aguiló (1825-1897) Poeta español.,PENSAMIENTO Y RAZÓN,RAZÓN,,
"La verdad es una ortiga; el que la roza apenas, se pincha; al que la coge con fuerza y resolución no le hace nada.",Moritz Gottlieb Saphir (1795-1858) Escritor alemán.,ARTE,CINE,,
El ejemplo es una lección que todos los hombres pueden leer.,Morris West (1916-1999) Escritor australiano.,NATURALEZA,SER HUMANO,HABLAR,
Vale la pena conocer al enemigo... entre otras cosas por la posibilidad de que algún día se convierta en un amigo.,Margaret Thatcher (1925-2013) Ex-primer ministro de Inglaterra.,NATURALEZA,SER HUMANO,HABLAR,
Los mejores amigos de las mujeres son los diamantes.,Marilyn Monroe (1926-1962) Actriz estadounidense.,CUALIDADES,UTILIDAD,,
"Paréceme, Sancho, que no hay refrán que no sea verdadero, porque todos son sentencias sacadas de la mesma experiencia, madre de las ciencias todas.",Miguel de Cervantes (1547-1616) Escritor español.,SOCIEDAD,TRABAJO,,
Máxima admirable: no hablar de las cosas hasta después de que estén hechas.,Montesquieu (1689-1755) Escritor y político francés.,CUALIDADES,COHERENCIA,,
La mejor forma de cumplir con la palabra empeñada es no darla jamás.,Napoleón I (1769-1821) Napoleón Bonaparte. Emperador francés.,CUALIDADES,FORTALEZA,,
"Hay ladrones a los que no se castiga, pero que roban lo más preciado: el tiempo.",Napoleón I (1769-1821) Napoleón Bonaparte. Emperador francés.,SOCIEDAD,EDUCACIÓN,,
Cita siempre los errores propios antes de referirte a los ajenos. Así nunca parecerá que presumes.,Noel Clarasó (1899-1985) Escritor español.,MISCELÁNEA,CONVENCER,,
"Si no queréis trabajar, necesitáis trabajar para ganar suficiente dinero para no trabajar más.",Ogden Nash (1902-1971) Poeta y humorista estadounidense.,SOCIEDAD,EDUCACIÓN,,
"La tierra es un teatro, pero tiene un reparto deplorable.",Oscar Wilde (1854-1900) Dramaturgo y novelista irlandés.,MISCELÁNEA,ERRORES,,
"Nunca se miente tanto como antes de las elecciones, durante la guerra y después de la cacería.",Otto von Bismark (1815-1898) Político alemán.,PENSAMIENTO Y RAZÓN,PENSAMIENTO,PENSAR,
"El fuero para el gran ladrón, la cárcel para el que roba un pan.",Pablo Neruda (1904-1973) Poeta chileno.,SOCIEDAD,POLÍTICA,,
"Nada es veneno, todo es veneno: la diferencia está en la dosis.",Paracelso (1493-1541) Médico y químico suizo.,TIEMPO,,,
"Dos excesos: excluir la razón, no admitir más que la razón.","Blaise Pascal (1623-1662) Científico, filósofo y escritor francés.",TIEMPO,VEJEZ,,
Ser director de cine en España es como ser torero en Japón.,Pedro Almodovar (1950-?) Director de cine español.,SOCIEDAD,RELIGIÓN,MILAGROS,
No sabe hablar quien no sabe callar.,Pitágoras de Samos (582 AC-497 AC) Filósofo y matemático griego.,SENTIMIENTOS,INSATISFACCIÓN,,
"A los hombres se les puede dividir en dos categorías: los que hablan para decir algo, y los que dicen algo por hablar.","Príncipe Carlos José de Ligne (1735-1814) Escritor, mariscal y diplomático belga.",ARTE,MÚSICA,,
Más vale una cabra que da leche que una vaca estéril.,Proverbio estoniano,MISCELÁNEA,CAPRICHO,,
"El trabajo hecho con gusto y con amor, siempre es una creación original y única.",Roberto Sapriza,SOCIEDAD,IDEALES,,
"El pastor esquila las ovejas, no las devora.",Suetonio (69-140) Historiador y biógrafo romano.,SOCIEDAD,HOMBRES,,
La fortaleza crece en proporción a la carga.,Thomas Wentworth Higginson (1823-1911) Político estadounidense.,NATURALEZA,VIDA,,
El principio de la educación es predicar con el ejemplo.,Anne Robert Jacques Turgot (1727-1781) Político y economista frances.,TIEMPO,,,
Nada tan estúpido como vencer; la verdadera gloria está en convencer.,Victor Hugo (1802-1885) Novelista francés.,TIEMPO,,,
No hay malas hierbas ni hombres malos; sólo hay malos cultivadores.,Victor Hugo (1802-1885) Novelista francés.,TIEMPO,,,
El único error de Dios fue no haber dotado al hombre de dos vidas: una para ensayar y otra para actuar.,"Vittorio Gassman (1922-2000) Actor de teatro, cine y televisión italiano.",SOCIEDAD,CULTURA,TOROS,
Seguir estúpidos precedentes y parpadear con los dos ojos es más fácil que pensar.,William Cowper (1731-1800) Poeta británico.,CUALIDADES,OPTIMISMO,,
Vota a aquel que prometa menos. Será el que menos te decepcione.,Bernard M. Baruch (1870-1965) Financiero y asesor presidencial estadounidense.,DEFECTOS,NECEDAD,,
"Ocurra lo que ocurra, aún en el día más borrascoso las horas y el tiempo pasan.",William Shakespeare (1564-1616) Escritor británico.,NATURALEZA,ANIMALES,PERROS,
Los viejos desconfían de la juventud porque han sido jóvenes.,William Shakespeare (1564-1616) Escritor británico.,NATURALEZA,ANIMALES,PERROS,
Toda pulgada cúbica de espacio es un milagro.,Walt Whitman (1819-1892) Poeta estadounidense.,MISCELÁNEA,MADRUGAR,,
Es mi trabajo no estar nunca satisfecho.,Wernher Von Braun (1912-1977) Ingeniero aeroespacial alemán.,MISCELÁNEA,SIN CLASIFICAR,,
La música es la armonía del cielo y de la tierra.,Yuel-Ji Músico chino,NATURALEZA,SER HUMANO,CALLAR,
"Los caprichos pueden ser perdonados, pero es un crimen despertar una pasión duradera para satisfacer un capricho.",André Maurois (1885-1967) Novelista y ensayista francés.,CUALIDADES,SUBJETIVIDAD,,
Los únicos ideales que vale la pena tener son los que puedes aplicar a la vida diaria. Y al mundo.,Bono (1960-?) Cantante irlandés. Líder del grupo U2,MISCELÁNEA,,,
Los grandes hombres no son grandes a todas horas ni en todas las cosas.,Federico II (1712-1786) Emperador de Prusia.,MISCELÁNEA,DESAGRADECIDO,,
Vida sin fiestas es como largo camino sin posadas.,Demócrito de Abdera (460 AC-370 AC) Filósofo griego.,MISCELÁNEA,CALMA,,
La única función del tiempo es consumirse: arde sin dejar cenizas.,Elsa Triolet (1896-1970) Novelista francesa.,MISCELÁNEA,SIN CLASIFICAR,,
El tiempo es el único capital de las personas que no tiene más que su inteligencia por fortuna.,Honoré de Balzac (1799-1850) Escritor francés.,SENTIMIENTOS,SORPRESA,,
"No es el tiempo lo que se os da, sino el instante. Con un instante dado, a nosotros nos corresponde hacer el tiempo.",Georges Poulet (1902-1991) Escritor belga,NATURALEZA,MUERTE,,
