Autor
"Albert Camus (1913-1960) Escritor francés."
"Jean de la Bruyere (1645-1696) Escritor francés."
"Enrique Jardiel Poncela (1901-1952) Escritor español."
"Horacio (65 AC-8 AC) Poeta latino."
"Montesquieu (1689-1755) Escritor y político francés."
"Noel Clarasó (1899-1985) Escritor español."
"Woody Allen (1935-?) Actor, director y escritor estadounidense."
"Concepción Arenal (1820-1893) Escritora y socióloga española."
"Antonio Machado (1875-1939) Poeta y prosista español."
"Arthur Schopenhauer (1788-1860) Filósofo alemán."
"Leon Tolstoi (1828-1910) Escritor ruso."
"Abraham Lincoln (1808-1865) Político estadounidense."
"Aldous Huxley (1894-1963) Novelista, ensayista y poeta inglés."
"Antoine de Saint-Exupéry (1900-1944) Escritor francés."
"Publio Siro (Siglo I AC-?) Poeta dramático romano."
"Sócrates (470 AC-399 AC) Filósofo griego."
"Jean Paul Sartre (1905-1980) Filósofo y escritor francés."
"Benjamin Disraeli (1804-1881) Estadista ingles."
"Molière (1622-1673) Comediografo francés."
"Thomas Jefferson (1743-1826) Político Estadounidense."
"Khalil Gibran (1883-1931) Ensayista, novelista y poeta libanés."
"Leonardo Da Vinci (1452-1519) Pintor, escultor e inventor italiano."
"Stendhal (1783-1842) Escritor francés."
"Joseph Joubert (1754-1824) Ensayista y moralista francés."
"Epicteto de Frigia (55-135) Filósofo grecolatino."
"René Descartes (1596-1650) Filósofo y matemático francés."
"Henry David Thoreau (1817-1862) Escritor, poeta y pensador."
"Proverbio chino"
"Gabriel García Márquez (1927-2014) Escritor colombiano."
"Fénelon (1651-1715) Escritor y teólogo francés."
"Ernesto Sábato (1911-2011) Escritor argentino."
"Jules Renard (1864-1910) Escritor y dramaturgo francés."
"Ovidio (43 AC-17) Poeta latino."
"Bertrand Russell (1872-1970) Filósofo, matemático y escritor británico.."
"Henry F. Amiel (1821-1881) Escritor suizo."
"Lao-tsé (570 aC-490 aC) Filósofo chino."
"Sófocles (495AC-406AC) Poeta trágico griego."
"Charles Baudelaire (1821-1867) Escritor, poeta y crítico francés."
"Pío Baroja (1872-1956) Escritor español."
"José Martí (1853-1895) Político y escritor cubano."
"Jean Cocteau (1889-1963) Escritor, pintor, coreógrafo."
"Juan Pablo II (1920-2005) Papa de la iglesia católica."
"Simón Bolívar (1783-1830) Militar y político de origen venezolano."
"Immanuel Kant (1724-1804) Filosofo alemán."
"Friedrich Schiller (1759-1805) Poeta y dramaturgo alemán"
"Ambrose Bierce (1842-1914) Escritor estadounidense."
"Chamfort (1741-1794) Académico francés."
"Santiago Ramón y Cajal (1852-1934) Médico español."
"Gustave Flaubert (1821-1880) Escritor francés."
"Pitágoras de Samos (582 AC-497 AC) Filósofo y matemático griego."
"Juan Luis Vives (1492-1540) Humanista y filósofo español."
"Robert Louis Stevenson (1850-1894) Escritor británico."
"Stanislaw Lec (1909-1966) Escritor polaco de origen judío."
"Ernest Hemingway (1899-1961) Escritor estadounidense."
"Lord Byron (1788-1824) Poeta británico."
"Mariano José de Larra (1809-1837) Escritor español."
"Amado Nervo (1870-1919) Poeta, novelista y ensayista mexicano."
"Charles Dickens (1812-1870) Escritor y novelista inglés."
"Simone de Beauvoir (1908-1986) Novelista e intelectual francesa."
"Paul Valéry (1871-1945) Escritor francés."
"Alfred de Musset (1810-1857) Poeta francés."
"Lope de Vega (1562-1635) Poeta, novelista y dramaturgo español."
"Marcel Proust (1871-1922) Escritor francés."
"Mario Benedetti (1920-2009) Escritor y poeta uruguayo."
"Sigmund Freud (1856-1939) Médico austriaco."
"Henrik Johan Ibsen (1828-1906) Dramaturgo noruego."
"Jean de La Fontaine (1621-1695) Escritor y poeta francés."
"Tácito (55-115) Historiador romano."
"Gregorio Marañón (1887-1960) Médico y escritor español."
"Arthur Miller (1915-2005) Dramaturgo estadounidense."
"George Orwell (1903-1950) Escritor británico."
"Alejandro Dumas (1802-1870) Escritor francés."
"John Ruskin (1819-1900) Crítico y escritor británico."
"Heráclito de Efeso (540 AC-470 AC) Filósofo griego."
"Pedro Calderón de la Barca (1600-1681) Dramaturgo y poeta español."
"Madre Teresa de Calcuta (1910-1997) Misionera de origen albanés naturalizada india"
"Martin Luther King (1929-1968) Religioso estadounidense."
"Hermann Hesse (1877-1962) Escritor suizo, de origen alemán."
"René de Chateaubriand (1768-1848) Diplomático y escritor francés."
"Jaime Luciano Balmes (1810-1848) Filósofo y sacerdote español."
"John Fitzgerald Kennedy (1917-1963) Político estadounidense."
"Graham Greene (1904-1991) Novelista británico."
"Proverbio árabe"
"Thomas Fuller (1610-1661) Clérigo y escritor británico."
"Thomas Hobbes (1588-1679) Filósofo y tratadista político inglés."
"Samuel Johnson (1709-1784) Escritor inglés."
"Juvenal (67-127) Poeta satírico romano."
"Georg Christoph Lichtenberg (1742-1799) Profesor de física y científico alemán."
"Edgar Allan Poe (1809-1849) Escritor estadounidense."
"Antonio Gala (1930-?) Dramaturgo, poeta y novelista español."
"Jonathan Swift (1667-1745) Político y escritor irlandés."
"Fiodor Dostoievski (1821-1881) Novelista ruso."
"Santa Teresa de Jesús (1515-1582) Escritora mística española."
"Carlos Fuentes (1929-2012) Periodista y escritor mexicano."
"Friedrich Hebbel (1813-1863) Poeta y dramaturgo alemán."
"Plutarco (50-125) Escritor griego."
"William Somerset Maugham (1874-1965) Escritor británico."
"Denis Diderot (1713-1784) Escritor francés."
"José Saramago (1922-2010) Escritor portugués."
"Paulo Coelho (1947-?) Escritor brasileño."
"Octavio Paz (1914-1998) Poeta y ensayista mexicano."
"Federico García Lorca (1898-1936) Poeta y dramaturgo español."
"Henry Ford (1863-1947) Industrial estadounidense."
"Alexander Pope (1688-1744) Poeta inglés."
"George Herbert (1593-1633) Poeta religioso inglés."
"Nicolás Maquiavelo (1469-1527) Historiador, político y teórico italiano."
"Camilo José Cela (1916-2002) Escritor español."
"Pablo Picasso (1881-1973) Pintor español."
"Pierre Corneille (1606-1684) Poeta y dramaturgo francés."
"Elbert Hubbard (1856-1915) Ensayista estadounidense."
"Pablo Neruda (1904-1973) Poeta chileno."
"Joseph Conrad (1857-1924) Novelista británico de origen polaco."
"Clive Staples Lewis (1898-1963) Escritor británico."
"Gustave Le Bon (1841-1931) Psicólogo francés."
"Alphonse Karr (1808-1890) Escritor francés."
"Franz Kafka (1883-1924) Escritor checoslovaco."
"Homero (VIII AC-VIII AC) Poeta y rapsoda griego."
"Jaume Perich (1941-1995) Humorista español."
"Fernando Pessoa (1888-1935) Poeta portugués."
"François Mauriac (1905-1970) Escritor francés."
"José Ingenieros (1877-1925) Filósofo y psicólogo argentino."
"Henry-Louis Mencken (1880-1956) Periodista y escritor estadounidense."
"André Malraux (1901-1976) Novelista y político francés."
"Giovanni Papini (1881-1956) Escritor italiano."
"Maurice Maeterlinck (1862-1949) Escritor belga."
"Karl Marx (1818-1883) Filósofo y economista alemán."
"Erasmo de Rotterdam (1469-1536) Humanista neerlandés."
"Edmund Burke (1729-1797) Político y escritor irlandés."
"George Eliot (1819-1880) Seudónimo de Mary Anne Evans. Novelista británica."
"Alejandro Casona (1903-1965) Dramaturgo español."
"Cesare Pavese (1908-1950) Poeta y novelista italiano."
"William Hazlitt (1778-1830) Literato ingles."
"Erich Fromm (1900-1980) Psicologo social de estadounidense."
"Epicuro de Samos (341 AC-270 AC) Filósofo griego."
"Georges Clemenceau (1841-1929) Político y periodista francés."
"William Faulkner (1897-1962) Escritor estadounidense."
"Sören Aabye Kierkegaard (1813-1855) Literato y filósofo danés."
"Alphonse de Lamartine (1790-1869) Historiador, político y poeta francés."
"Giacomo Leopardi (1798-1837) Poeta y erudito italiano."
"André Gide (1859-1951) Escritor francés"
"John Stuart Mill (1806-1873) Filósofo y economista inglés."
"Bertolt Brecht (1898-1956) Dramaturgo y poeta alemán."
"Isaac Asimov (1920-1992) Escritor y bioquímico estadounidense."
"Heinrich Heine (1797-1856) Poeta alemán."
"José Luis Sampedro (1917-2013) Escritor y economista español."
"Ray Bradbury (1920-2012) Escritor estadounidense."
"Françoise Sagan (1935-2004) Escritora francesa."
"Marguerite Yourcenar (1903-1987) Escritora francesa."
"Nicolas Boileau (1636-1711) Poeta y crítico literario francés."
"Germaine de Staël (1766-1817) Escritora e intelectual francesa."
"Otto von Bismark (1815-1898) Político alemán."
"Robert Frost (1874-1963) Poeta estadounidense."
"Sacha Guitry (1885-1957) Director, actor y guionista francés."
"Oliver Wendell Holmes (1809-1894) Poeta y médico estadounidense."
"Dante Alighieri (1265-1321) Escritor y filósofo italiano."
"Rudyard Kipling (1865-1936) Novelista británico."
"Francis Scott Fitzgerald (1896-1940) Escritor estadounidense."
"Ramón Gómez de la Serna (1891-1963) Escritor español. Autor de Greguerías."
"Hesíodo (Siglo VII AC-Siglo VI AC) Poeta griego."
"Julio Cortázar (1914-1984) Escritor argentino."
"Francesco Petrarca (1304-1374) Poeta italiano."
"Novalis (1772-1801) Friedrich von Hardenberg. Poeta y filósofo alemán."
"Gustavo Adolfo Bécquer (1836-1870) Poeta español."
"Buda (563 AC-486 AC) Fundador del budismo."
"Conde de Chesterfield (1694-1773) Político y escritor inglés."
"Marqués de Vauvenargues (1715-1747) Moralista francés."
"Jacques Benigne Bossuet (1627-1704) Clérigo católico francés y escritor."
"Conde de Rivarol (1753-1801) Escritor francés."
"Giuseppe Mazzini (1805-1872) Político italiano."
"Ángel Ganivet (1865-1898) Escritor, ensayista y narrador español."
"Eugene Ionesco (1912-1994) Dramaturgo francés de origen rumano."
"Helen Keller (1880-1968) Escritora y conferenciante estadounidense."
"Walt Whitman (1819-1892) Poeta estadounidense."
"William Blake (1757-1827) Poeta y pintor inglés."
"Nelson Mandela (1918-2013) Abogado y político sudafricano."
"Alberto Moravia (1907-1990) Alberto Pincherle. Escritor italiano."
"Louis Pasteur (1822-1895) Químico y microbiólogo francés."
"Paul Géraldy (1885-1983) Poeta y dramaturgo francés."
"Bernard Le Bouvier de Fontenelle (1657-1757) Escritor francés."
"Vincent Van Gogh (1853-1890) Pintor postimpresionista holandés."
"Pitigrilli (1893-1975) Escritor italiano."
"Wayne W. Dyer (1940-2015) Escritor estadounidense."
"Thomas De Kempis (1380-1471) Teólogo alemán."
"John Locke (1632-1704) Filósofo inglés."
"Charles Bukowski (1920-1994) Escritor estadounidense."
"Carl Gustav Jung (1875-1961) Psicólogo y psiquiatra suizo."
"Alfred Victor de Vigny (1797-1863) Escritor francés."
"Enrique Tierno Galván (1918-1986) Político e intelectual español."
"Jean-Baptiste Racine (1639-1699) Poeta trágico francés."
"Peter Alexander Ustinov (1921-2004) Actor estadounidense."
"Georges Duhamel (1884-1966) Escritor francés."
"Sándor Márai (1900-1989) Escritor húngaro."
"Plinio el Joven (62-113) Escritor romano."
"Friedrich Hegel (1770-1831) Filósofo alemán."
"Fernando de Rojas (1465-1541) Escritor español autor de La Celestina."
"Ana María Matute (1926-2014) Novelista española."
"Herni Dominique Lacordaire (1802-1861) Sacerdote y predicador francés."
"T. S. Eliot (1888-1965) Poeta, dramaturgo y crítico literario."
"Benito Pérez Galdós (1843-1920) Escritor español."
"John Lennon (1940-1980) Cantante y compositor británico."
"Charles Chaplin (1889-1977) Actor y director británico."
"Carlo Dossi (1849-1910) Escritor italiano."
"Mateo Alemán (1547-1613) Novelista español."
"Pietro Metastasio (1698-1782) Poeta italiano."
"Jean Paul (1763-1825) Escritor y humorista alemán."
"Demócrito de Abdera (460 AC-370 AC) Filósofo griego."
"Alain (1868-1951) Filósofo y ensayista francés."
"Ninon de Lenclos (1620-1705) Cortesana francesa."
"James Russell Lowell (1819-1891) Poeta y escritor estadounidense."
"Salomón (970 AC-931 AC) Rey de Israel"
"Alexis Carrel (1873-1944) Biólogo y médico francés."
"Lin Yutang (1895-1976) Escritor y filólogo chino."
"Théophile Gautier (1811-1872) Poeta, crítico y novelista francés."
"Ludwig van Beethoven (1770-1827) Compositor y músico alemán."
"Jean Anouilh (1910-1987) Escritor y dramaturgo francés."
"Ramón de Campoamor (1817-1901) Poeta español."
"Esopo (S. VII aC-S. VII aC) Fabulista griego."
"Samuel Butler (novelista) (1835-1902) Novelista inglés."
"Emily Dickinson (1830-1886) Poetisa estadounidense."
"Doménico Cieri Estrada (1954-?) Escritor mexicano."
"Eurípides de Salamina (480 AC-406 AC) Poeta trágico griego"
"Milan Kundera (1929-?) Novelista y ensayista checo naturalizado francés."
"Anthelme Brillat-Savarín (1755-1826) Gastrónomo y escritor francés."
"Rainer María Rilke (1875-1926) Escritor austríaco."
"Georg Simmel (1858-1918) Sociólogo y filósofo alemán."
"Juan Rulfo (1917-1986) Novelista y cuentista mexicano."
"Charles Caleb Colton (1780-1832) Poeta inglés."
"Jorge Bucay (1949-?) Escritor y psicoterapeuta argentino."
"Agatha Christie (1891-1976) Novelista inglesa."
"Robert Browning (1812-1889) Poeta inglés."
"Terencio (195 AC-159 AC) Autor cómico latino."
Proverbio
"Horace Mann (1796-1859) Educador estadounidense."
"Ludwig Wittgenstein (1889-1951) Filósofo británico, de origen austríaco."
"Madame de Sévigné (1626-1696) Escritora francesa."
"William James (1842-1910) Psicólogo y filósofo estadounidense."
"Salustio (83 AC-35 AC) Caius Sallustius Crispus. Historiador latino."
"Auguste Comte (1798-1857) Filósofo francés."
"Albert Schweitzer (1875-1965) Filósofo, médico y escritor alemán."
"Henry Miller (1891-1980) Escritor estadounidense."
"Miguel Delibes (1920-2010) Escritor español."
"Marqués de Sade (1740-1814) Escritor francés."
"Baruch Spinoza (1632-1677) Filósofo holandés, de origen juedoespañol."
"Esquilo de Eleusis (525 AC-456 AC) Poeta trágico."
"Galileo Galilei (1564-1642) Físico y astrónomo italiano."
"Thomas Alva Edison (1847-1931) Físico e inventor estadounidense."
"Ramon Llull (1235-1315) Filósofo y escritor en lengua catalana."
"Jane Austen (1775-1817) Escritora británica."
"Simone Weil (1909-1943) Filósofa y activista política francesa."
"Orison Swett Marden (1850-1924) Escritor de libros de autoayuda."
"Juan Ramón Jiménez (1881-1958) Escritor español."
"Menandro de Atenas (342 adC-292 adC) Dramaturgo Griego"
"Carl Sagan (1934-1996) Astrónomo estadounidense."
"Cristina II (1626-1689) Reina de Suecia."
"Umberto Eco (1932-2016) Escritor italiano."
"José de San Martín (1778-1850) Militar y político argentino."
"Adam Smith (1723-1790) Filósofo y economista escocés."
"San Francisco de Sales (1567-1622) Obispo y Doctor de la Iglesia."
"John Keats (1795-1821) Poeta ingles."
"Thomas Henry Huxley (1825-1895) Zoólogo inglés."
"Emil Cioran (1911-1995) Escritor y filósofo rumano."
"María Zambrano (1904-1991) Filósofa y ensayista española."
"Virginia Woolf (1882-1941) Novelista y editora británica."
"Benjamin Constant (1767-1830) Escritor y político francés."
"Viktor Frankl (1905-1997) Psiquiatra y psicoterapeuta austriaco."
"Giovanni Boccaccio (1313-1375) Escritor italiano."
"Diógenes de Sínope (412 AC-323 AC) Filósofo griego."
"Alejandro Dumas (hijo) (1824-1895) Escritor francés."
"Martin Lutero (1483-1546) Reformador alemán."
"William Cowper (1731-1800) Poeta británico."
"Julián Marías (1914-2005) Filósofo español."
"Truman Capote (1924-1984) Escritor estadounidense."
"José Hernández (1834-1886) Periodista y poeta argentino."
"Paul Auster (1947-?) Novelista y poeta estadounidense."
"Fernando Savater (1947-?) Filósofo español."
"Theodore Roosevelt (1858-1919) Político estadounidense."
"Thomas Macaulay (1800-1859) Historiador y político británico."
"Ugo Foscolo (1778-1827) Escritor y poeta italiano."
"Oliver Goldsmith (1728-1774) Escritor británico."
"Indira Gandhi (1917-1984) Estadista y política hindú."
"Hermann Keyserling (1880-1946) Filósofo y científico alemán."
"Alfred Tennyson (1809-1892) Poeta inglés."
"Antón Chéjov (1860-1904) Dramaturgo y autor de relatos ruso."
"Konrad Adenauer (1876-1967) Político alemán."
"Gotthold Ephraim Lessing (1729-1781) Dramaturgo, crítico literario y pensador alemán."
"Tito Livio (59 AC-64 AC) Historiador romano."
"Santiago Rusiñol i Prats (1861-1931) Pintor y escritor español."
"Margaret Thatcher (1925-2013) Ex-primer ministro de Inglaterra."
"Walter Scott (1771-1832) Escritor británico."
"Anaxágoras (500 A.C.-428 A.C.) Filósofo griego."
"Marco Aurelio (121-180) Emperador romano."
"Mijail Bakunin (1814-1876) Revolucionario ruso."
"Marie Curie (1867-1934) Física francesa."
"Charles Maurice Talleyrand (1754-1838) Diplomático y estadista francés."
"Gonzalo Torrente Ballester (1910-1999) Escritor español."
"Tales de Mileto (624 AC-546 AC) Filósofo y matemático griego."
"D. H. Lawrence (1885-1930) Novelista británico."
"John Steinbeck (1902-1968) Escritor estadounidense."
"Eduardo Galeano (1940-2015) Escritor y periodista uruguayo."
"Santo Tomás de Aquino (1224-1274) Filósofo y teólogo."
"Alexis Tocqueville (1805-1859) Político e historiador francés."
"Conde de Mirabeau (1749-1791) Político, escritor y orador francés."
"Diego de Saavedra Fajardo (1584-1648) Diplomático y escritor español."
"Hipócrates (s. V AC-s. IV AC) Médico griego."
"Máximo Gorki (1868-1936) Escritor ruso."
"John Dewey (1859-1952 ) Filósofo estadounidense."
"Benedicto XVI (1927-?) Papa de la Iglesia Católica."
"Isabel Allende (1942-?) Escritora chilena."
"Italo Calvino (1923-1985) Escritor italiano."
"Carl Sandburg (1878-1967) Poeta, historiador y novelista estadounidense."
"Heinrich Böll (1917-1985) Escritor alemán"
"Jaime Sabines (1926-1999) Poeta y político mexicano."
"Malcolm X (1925-1965) Activista político estadounidense."
"Doris Lessing (1919-2013) Novelista británica de origen iraní."
"Jack London (1876-1916) Escritor y activista americano."
"Haruki Murakami (1949-?) Escritor y traductor japonés."
"Joaquín Sabina (1949-?) Cantautor y poeta español."
"Proverbio hindú"
"Severo Catalina (1832-1871) Periodista y escritor español."
"Isaac Newton (1642-1727) Matemático y físico británico."
"Proverbio ruso"
"George Santayana (1863-1952) Filósofo y escritor español."
"Carmen Martín Gaite (1925-2000) Novelista española"
"Paul Charles Bourget (1852-1935) Escritor francés."
"Eugene O'Neill (1888-1953) Dramaturgo estadounidense."
"Juan Donoso Cortés (1809-1853) Ensayista español."
"Zsa Zsa Gabor (1917-2016) Actriz de origen húngaro"
"Alessandro Manzoni (1785-1873) Poeta y escritor italiano."
"Muslih-Ud-Din Saadi (1184-1291) Poeta persa."
"León Daudí (1905-1985) Escritor español."
"Hipólito Taine (1828-1893) Escritor francés."
"Proverbio italiano"
"Franklin D. Roosevelt (1882-1945) Político estadounidense."
"Proverbio inglés"
"Charles Augustin Sainte-Beuve (1804-1869) Escritor y crítico literario francés."
"Julio César (100 AC-44 AC) Emperador romano."
"John Churton Collins (1848-1908) Crítico literario inglés."
"Ferdinand Galiani (1728-1787) Diplomático y economista italiano."
"John Kenneth Galbraith (1908-2006) Econonista estadounidense."
"Lucano (39-65) Escritor latino."
"Laurence Sterne (1713-1768) Novelista y humorista inglés."
"Susan Sontag (1933-2004) Novelista y ensayista estadounidense."
"Mao Tse-Tung (1893-1976) Estadista chino."
"Elías Canetti (1905-1994) Autor búlgaro en lengua alemana."
"Georges Braque (1882-1963) Pintor francés."
"Stefan Zweig (1881-1942) Escritor austriaco."
"Frank Lloyd Wright (1867-1959) Arquitecto estadounidense."
"William Penn (1644-1718) Religioso británico."
"Lewis Carroll (1832-1898) Matemático y escritor británico."
"Orson Welles (1915-1985) Director de cine estadounidense"
"San Bernardo de Claraval (1091-1153) Eclesiástico francés."
"Émile Zola (1840-1902) Novelista francés."
"Herbert Marshall McLuhan (1911-1980) Comunicólogo canadiense."
"Remy de Gourmont (1858-1915) Novelista francés."
"Edward George Bulwer-Lytton (1803-1873) Escritor inglés."
"Mario Puzo (1920-1999) Escritor estadounidense."
"Nadine Gordimer (1923-2014) Escritora sudafricana."
"Steve Jobs (1955-2011) Empresario e informático estadounidense."
"Ayn Rand (1905-1982) Filósofa y escritora ruso-estadounidense."
"John Dos Passos (1896-1970) Novelista y periodista estadounidense."
"Terry Pratchett (1948-2015) Escritor británico."
"Proverbio turco"
"Paul Claudel (1868-1955) Escritor y diplomático francés."
"Henry Van Dyke (1852-1933) Escritor estadounidense."
"Arthur Schnitzler (1862-1931) Dramaturgo austríaco."
"Richard Bach (1936-?) Escritor y aviador estadounidense."
"Eleanor Roosevelt (1884-1962) Defensora de los derechos sociales, diplomática y"
"Gabriel Marcel (1889-1973) Filósofo católico, dramaturgo y crítico francés."
"Daniel Defoe (1660-1731) Novelista y periodista inglés."
"Jules d'Aurevilly (1808-1889) Novelista y crítico francés."
"Colette (1873-1954) Novelista francesa."
"Jesucristo (4 AC-30) Fundador del cristianismo."
"Ernest Renan (1823-1892) Escritor francés."
"Isabel de Rumania (1843-1916) Escritora rumana."
"Francis Picabia (1879-1953) Pintor francés."
"Tristan Bernard (1866-1947) Novelista y periodista francés."
"Francisco Umbral (1935-2007) Escritor español."
"Félecité de Lamennais (1782-1854) Escritor religioso francés."
"Marco Valerio Marcial (40-104) Poeta latino."
"Solón de Atenas (640 A.C.-558 A.C.) Legislador griego"
"Henry George (1839-1897) Economista inglés."
"Bob Dylan (1941-?) Cantautor, compositor y músico estadounidense."
"Friedrich Dürrenmatt (1921-1990) Escritor suizo."
"Quintiliano (35-96) Escritor hispanolatino."
"Marilyn Monroe (1926-1962) Actriz estadounidense."
"Proverbio alemán"
"Norman Mailer (1923-2007) Escritor estadounidense."
"El Talmud"
"Salvador Dalí (1904-1989) Pintor y escultor español."
"Rubén Darío (1867-1916) Poeta y periodista nicaragüense."
"Arthur C. Clarke (1917-2008) Escritor inglés de ciencia ficción."
"Frank Zappa (1940-1993) Músico estadounidense."
"Samuel Beckett (1906-1989) Poeta y novelista irlandés."
"John Dryden (1631-1700) Escritor inglés"
"Gabriela Mistral (1889-1957) Escritora chilena."
"Herbert Spencer (1820-1903) Escritor británico."
"Louis de Bonald (1754-1840) Filósofo y político francés."
"Tom Wolfe (1931-2018) Periodista y escritor estadounidense."
"Martin Heidegger (1889-1976) Filósofo alemán."
"Willy Brandt (1913-1992) Político alemán."
"Vicki Baum (1888-1960) Novelista estadounidense."
"Thornton Wilder (1897-1975) Escritor estadounidense."
"Pierre Teilhard de Chardin (1881-1955) Filósofo y teólogo francés."
"Henri Bergson (1859-1941) Filósofo francés."
"Gaspar Melchor de Jovellanos (1744-1811) Literato, economista y político español."
"Antonio Cánovas del Castillo (1828-1897) Político, historiador y escritor español."
"Tucídides (460 AC-396 AC) Historiador ateniense."
"Dorothy Parker (1893-1967) Escritora y crítica estadounidense."
"J. R. R. Tolkien (1892-1973) Escritor británico."
"Fray Antonio de Guevara (1480-1545) Escritor y eclesiástico español."
"Karl Wilhelm Von Humboldt (1767-1835) Político prusiano."
"Mariano Aguiló (1825-1897) Poeta español."
"John Galsworthy (1867-1933) Escritor inglés."
"Pierre Joseph Proudhon (1809-1865) Filósofo francés."
"Plauto (254 AC-184 AC) Dramaturgo cómico romano."
"Karl Popper (1902-1994) Filósofo inglés."
"Francisco Ayala (1906-2009) Escritor español."
"Alfred North Whitehead (1861-1947) Filósofo y matemático angloamericano."
"Benedetto Croce (1866-1952) Historiador, humanista y filósofo italiano."
"André Breton (1896-1966) Poeta y crítico francés."
"E. W. Stevens Autor de libros de Psicología."
"George Steiner (1929-?) Filósofo francés."
"Thomas Browne (1605-1682) Médico y ensayista inglés."
"Eric Hoffer (1902-1983) Escritor y filósofo estadounidense."
"James Joyce (1882-1941) Escritor irlandés."
"John Milton (1608-1674) Poeta inglés."
"Douglas Coupland (1961-?) Escritor de ficción canadiense."
"Guy de Maupassant (1850-1893) Escritor francés."
"Robert Green Ingersoll (1833-1899) Politico y orador norteamericano."
"Franz Grillparzer (1791-1872) Dramaturgo austriaco."
"Diógenes Laercio (S. III AC-?) Historiador griego."
"Robert Burton (1577-1640) Escritor y clérigo inglés."
"Manuel Vicent (1936-?) Escritor español."
"Ramón J. Sénder (1902-1982) Escritor español."
"Alfred Hitchcock (1899-1980) Director de cine británico."
"Chumy Chúmez (1927-2003) Humorista gráfico y escritor español."
"Peter Drucker (1909-2005) Escritor y consultor austriaco."
"Henry Adams (1838-1918) Escritor y historiador estadounidense."
"Proverbio japonés"
"Pierre Augustin de Beaumarchais (1732-1799) Poeta dramático francés."
"Eugène Delacroix (1798-1863) Pintor francés."
"Proverbio judío"
"Charles Péguy (1873-1914) Escritor francés."
"Alfred d' Houdetot (1799-1869) Escritor francés."
"Maria Montessori (1870-1952) Educadora y médica italiana."
"Fedro (15 AC-50) Fabulista latino."
"John Donne (1572-1631) Poeta, prosista y clérigo inglés."
"Carlo Goldoni (1707-1793) Dramaturgo italiano."
"Charles M. Schulz (1922-2000) Dibujante estadounidense."
"Joseph Sanial-Dubay (1754-1817) Escritor francés."
"Alonso de Ercilla y Zúñiga (1533-1594) Escritor español."
"Claude Adrien Helvétius (1715-1771) Filósofo francés."
"George Washington (1732-1799) Primer presidente de los Estados Unidos."
"Tennessee Williams (1911-1983) Dramaturgo estadounidense."
"Pearl S. Buck (1892-1973) Novelista estadounidense."
"Ralph Nader (1934-?) Activista y abogado estadounidense."
"Gabriele d' Annunzio (1863-1938) Escritor italiano."
"Vincenzo Gioberti (1801-1852) Filósofo y estadista italiano."
"Juan Zorrilla de San Martín (1855-1931) Periodista, ensayista y poeta uruguayo."
"Ippolito Nievo (1831-1861) Escritor italiano."
"José Luis Coll (1931-2007) Humorista español."
"Severo Ochoa (1905-1993) Médico español."
"Ezra Pound (1885-1972) Crítico y poeta estadounidense."
"Salman Rushdie (1947-?) Escritor anglo-hindú."
"Mae West (1892-1981) Actriz estadounidense."
