Frase,Autor,Cat1,Cat2,Cat3,Cat4,,,
"En el fondo, la inmoralidades una cuestión de estética, porque los desnudos hermosos son decentísimos y los feos inmorales.",Adolfo Marsillach (1928-2002) Director y dramaturgo español.,MISCELÁNEA,AHOGARSE,NULL,NULL,,,
"En cuanto se concede a la mujer la igualdad con el hombre, se vuelve superior a él.",Margaret Thatcher (1925-2013) Ex-primer ministro de Inglaterra.,MISCELÁNEA,LADRÓN,NULL,NULL,,,
"En cuanto el alma pierde la aureola juvenil, los generosos torneos por el aplauso son sustituidos por las egoístas competencias por el dinero.",Santiago Ramón y Cajal (1852-1934) Médico español.,SOCIEDAD,PODER,NULL,NULL,,,
En caso de vida o muerte se debe estar con el más prójimo.,Antonio Machado (1875-1939) Poeta y prosista español.,MISCELÁNEA,AMENAZAR,NULL,NULL,,,
"En asuntos internacionales, la paz es un período de trampas entre dos luchas.",Ambrose Bierce (1842-1914) Escritor estadounidense.,PENSAMIENTO Y RAZÓN,PENSAMIENTO,NULL,NULL,,,
El verdadero discípulo es el que supera al maestro.,Aristóteles (384 AC-322 AC) Filósofo griego.,SOCIEDAD,PATRIOTISMO,NULL,NULL,,,
El valor espera; el miedo va a buscar.,José Bergamín (1895-1983) Escritor español.,CIENCIAS,NULL,NULL,NULL,,,
El valor de un acto se juzga por su oportunidad.,Lao-tsé (570 aC-490 aC) Filósofo chino.,SOCIEDAD,DINERO,RIQUEZA,NULL,,,
El universo no fue hecho a medida del hombre; tampoco le es hostil: es indiferente.,Carl Sagan (1934-1996) Astrónomo estadounidense.,MISCELÁNEA,PUDOR,NULL,NULL,,,
El único sentido de esta vida consiste en ayudar a establecer el reino de Dios.,Leon Tolstoi (1828-1910) Escritor ruso.,CUALIDADES,GRANDEZA,NULL,NULL,,,
El tiempo es una imagen móvil de la eternidad.,Platón (427 AC-347 AC) Filósofo griego.,MISCELÁNEA,PLACER,NULL,NULL,,,
El suicidio es una bancarrota fraudulenta.,Pierre Joseph Proudhon (1809-1865) Filósofo francés.,CUALIDADES,OPTIMISMO,NULL,NULL,,,
El silencio es un gran arte para la conversación.,William Hazlitt (1778-1830) Literato ingles.,NATURALEZA,ANIMALES,PERROS,NULL,,,
El ser humano es el único animal capaz de hacer fuego. Esto le ha procurado su dominio sobre la Tierra.,Conde de Rivarol (1753-1801) Escritor francés.,PENSAMIENTO Y RAZÓN,PENSAMIENTO,NULL,NULL,,,
El renombre y el reposo no compaginan.,Georg Christoph Lichtenberg (1742-1799) Profesor de física y científico alemán.,ARTE,PINTURA,NULL,NULL,,,
El que sufre tiene memoria.,"Cicerón (106 AC-43 AC) Escritor, orador y político romano.",SENTIMIENTOS,DESESPERACIÓN,NULL,NULL,,,
El que se ahoga no repara en lo que se agarra.,José de San Martín (1778-1850) Militar y político argentino.,TIEMPO,NULL,NULL,NULL,,,
El que retiene algo que no necesita es igual a un ladrón.,Mahatma Gandhi (1869-1948) Político y pensador indio.,MISCELÁNEA,MUNDO,NULL,NULL,,,
El que ostenta el poder es siempre impopular.,Benjamin Disraeli (1804-1881) Estadista ingles.,SOCIEDAD,POLÍTICA,POLÍTICOS,NULL,,,
"El que no teme a la muerte, no teme a las amenazas.",Pierre Corneille (1606-1684) Poeta y dramaturgo francés.,SOCIEDAD,DINERO,NULL,NULL,,,
"El que no pueda guardar sus pensamientos, jamás sabrá analizar grandes cosas.","Thomas Carlyle (1795-1881) Historiador, pensador y ensayista inglés.",DEFECTOS,MALDAD,NULL,NULL,,,
El que no ama su patria no puede amar nada.,Lord Byron (1788-1824) Poeta británico.,SOCIEDAD,MATRIMONIO,NULL,NULL,,,
"El que la ciencia pueda sobrevivir largamente depende de la psicología; es decir, depende de lo que los seres humanos deseen.","Bertrand Russell (1872-1970) Filósofo, matemático y escritor británico..",MISCELÁNEA,LLORAR,NULL,NULL,,,
El que está satisfecho con su parte es rico.,Lao-tsé (570 aC-490 aC) Filósofo chino.,TIEMPO,HOY,NULL,NULL,,,
El pudor es un sólido que sólo se disuelve en alcohol o en dinero.,Enrique Jardiel Poncela (1901-1952) Escritor español.,CUALIDADES,HONOR,NULL,NULL,,,
El precio de la grandeza es la responsabilidad.,Winston Churchill (1874-1965) Político británico.,CUALIDADES,PERSEVERANCIA,NULL,NULL,,,
El placer es el bien primero. Es el comienzo de toda preferencia y de toda aversión. Es la ausencia del dolor en el cuerpo y la inquietud en el alma.,Epicuro de Samos (341 AC-270 AC) Filósofo griego.,NATURALEZA,SER HUMANO,NULL,NULL,,,
El pesimista sabe rebelarse contra el mal. Sólo el optimista sabe extrañarse del mal.,Gilbert Keith Chesterton (1874-1936) Escritor británico.,SENTIMIENTOS,AMOR,AMAR,NULL,,,
"El perro sabe, pero no sabe que sabe.",Pierre Teilhard de Chardin (1881-1955) Filósofo y teólogo francés.,SENTIMIENTOS,SATISFACCIÓN,NULL,NULL,,,
El pensamiento es la única cosa del Universo de la que no se puede negar su existencia: negar es pensar.,José Ortega y Gasset (1883-1955) Filósofo y ensayista español.,CUALIDADES,AMBICIÓN,NULL,NULL,,,
El ojo recibe de la belleza pintada el mismo placer que de la belleza real.,"Leonardo Da Vinci (1452-1519) Pintor, escultor e inventor italiano.",MISCELÁNEA,DIFICULTADES,NULL,NULL,,,
"El no esperar remedio, ni desesperar de él, suele ser el remedio de los casos desesperados.",Diego de Saavedra Fajardo (1584-1648) Diplomático y escritor español.,NATURALEZA,VIDA,VIVIR,NULL,,,
"El niño es realista; el muchacho, idealista; el hombre, escéptico, y el viejo, místico.",Goethe (1749-1832) Poeta y dramaturgo alemán.,CUALIDADES,CARÁCTER,NULL,NULL,,,
"El mundo no fue hecho en el tiempo, sino con el tiempo.",San Agustín (354-430) Obispo y filósofo.,SOCIEDAD,LEYES,JUSTICIA,NULL,,,
El mundo está lleno de estadistas a quienes la democracia ha degradado convirtiéndoles en políticos.,Benjamin Disraeli (1804-1881) Estadista ingles.,SOCIEDAD,POLÍTICA,NULL,NULL,,,
El mejor límite para el dinero es el que no permite caer en la pobreza ni alejarse mucho de ella.,Séneca (2 AC-65) Filósofo latino.,SOCIEDAD,FAMILIA,NULL,NULL,,,
El mayor número de los males que sufre el hombre proviene del hombre mismo.,Plinio el Joven (62-113) Escritor romano.,NATURALEZA,SER HUMANO,NULL,NULL,,,
El matrimonio debe ser una relación ya de simpatía o ya de conquista.,George Eliot (1819-1880) Seudónimo de Mary Anne Evans. Novelista británica.,SENTIMIENTOS,CELOS,NULL,NULL,,,
El llanto es tan saludable como el sudor y más poético.,Alejandro Casona (1903-1965) Dramaturgo español.,SOCIEDAD,POLÍTICA,DEMOCRACIA,NULL,,,
El hoy es discípulo del ayer.,Publio Siro (Siglo I AC-?) Poeta dramático romano.,DEFECTOS,EGOÍSMO,NULL,NULL,,,
El honor es la poesía del deber.,Alfred Victor de Vigny (1797-1863) Escritor francés.,CUALIDADES,BELLEZA,NULL,NULL,,,
El hombre superior es persistente en el camino cierto y no sólo persistente.,Confucio (551 AC-478 AC) Filósofo chino.,SOCIEDAD,RELIGIÓN,NULL,NULL,,,
El hombre se diferencia del animal en que bebe sin sed y ama sin tiempo.,José Ortega y Gasset (1883-1955) Filósofo y ensayista español.,DEFECTOS,COBARDÍA,NULL,NULL,,,
"El hombre se define como ser que evalúa, como ser que ama por excelencia.",Friedrich Nietzsche (1844-1900) Filosofo alemán.,DEFECTOS,PEREZA,NULL,NULL,,,
"El hombre que no se contenta con poco, no se contenta con nada.",Epicuro de Samos (341 AC-270 AC) Filósofo griego.,SOCIEDAD,MODAS,NULL,NULL,,,
"El hombre puede trepar hasta las cumbres más altas, pero no puede vivir allí mucho tiempo.",George Bernard Shaw (1856-1950) Escritor irlandés.,MISCELÁNEA,AZAR,NULL,NULL,,,
"El hombre prudente sólo piensa en sus dificultades cuando ello tiene algún objeto. Cuando no, piensa en otra cosa.","Bertrand Russell (1872-1970) Filósofo, matemático y escritor británico..",ARTE,NULL,NULL,NULL,,,
"El hombre no vive, como las bestias salvajes, en un mundo de cosas meramente físicas, sino en un mundo de signos y símbolos.",Pitigrilli (1893-1975) Escritor italiano.,ARTE,NULL,NULL,NULL,,,
El hombre no revela mejor su propio carácter que cuando describe el carácter de otro.,Jean Paul (1763-1825) Escritor y humorista alemán.,ARTE,NULL,NULL,NULL,,,
"El hombre justo no es aquel que no comete ninguna injusticia, si no el que pudiendo ser injusto no quiere serlo.",Menandro de Atenas (342 adC-292 adC) Dramaturgo Griego,PENSAMIENTO Y RAZÓN,ARGUMENTO,NULL,NULL,,,
El hombre es un animal político.,Aristóteles (384 AC-322 AC) Filósofo griego.,SOCIEDAD,EDUCACIÓN,APRENDER,NULL,,,
"El hombre es un animal no social, sino cordial, y la familia es la forma menos imperfecta de la cordialidad humana.",Fernando Sánchez Dragó (1936-?) Escritor español.,SENTIMIENTOS,AMOR,NULL,NULL,,,
"El hombre es el único animal que come sin tener hambre, bebe sin tener sed y habla sin tener nada que decir.",Mark Twain (1835-1910) Escritor y periodista estadounidense.,SENTIMIENTOS,AMOR,NULL,NULL,,,
El enamorado celoso soporta mejor la enfermedad de su amante que su libertad.,Marcel Proust (1871-1922) Escritor francés.,SENTIMIENTOS,AMOR,NULL,NULL,,,
El elector goza del sagrado privilegio de votar por un candidato que eligieron otros.,Ambrose Bierce (1842-1914) Escritor estadounidense.,SENTIMIENTOS,AMOR,NULL,NULL,,,
El egoísta se ama a sí mismo sin rivales.,"Cicerón (106 AC-43 AC) Escritor, orador y político romano.",SOCIEDAD,MATRIMONIO,NULL,NULL,,,
El deseo de agradar es al espíritu lo que el adorno a la belleza.,Voltaire (1694-1778) Filósofo y escritor francés.,SENTIMIENTOS,AMOR,NULL,NULL,,,
El conocimiento profundo de las religiones permite derribar las barreras que las separan.,Mahatma Gandhi (1869-1948) Político y pensador indio.,SENTIMIENTOS,AMOR,NULL,NULL,,,
El cobarde sólo amenaza cuando está a salvo.,Goethe (1749-1832) Poeta y dramaturgo alemán.,SENTIMIENTOS,AMOR,NULL,NULL,,,
El cansancio ronca sobre los guijarros; en tanto que la pereza halla dura la almohada de pluma.,William Shakespeare (1564-1616) Escritor británico.,SOCIEDAD,MATRIMONIO,NULL,NULL,,,
El cambio de moda es el impuesto que la industria del pobre carga sobre la vanidad del rico.,Chamfort (1741-1794) Académico francés.,SOCIEDAD,RELIGIÓN,AGNOSTICISMO,NULL,,,
El azar tiene muy mala leche y muchas ganas de broma.,Arturo Pérez Reverte (1951-?) Periodista y escritor español.,SENTIMIENTOS,CONCORDIA,NULL,NULL,,,
"El arte, cuando es bueno, es siempre entretenimiento.",Bertolt Brecht (1898-1956) Dramaturgo y poeta alemán.,SOCIEDAD,DINERO,NULL,NULL,,,
El arte nace en el cerebro y no en el corazón.,Honoré de Balzac (1799-1850) Escritor francés.,SOCIEDAD,RELIGIÓN,DIOS,NULL,,,
El arte es el hombre añadido a la naturaleza.,Vincent Van Gogh (1853-1890) Pintor postimpresionista holandés.,SOCIEDAD,RELIGIÓN,DIOS,NULL,,,
"El argumento se semeja al disparo de una ballesta, es igual de efectivo dirigido a un gigante que a un enano.",Sir Francis Bacon (1561-1626) Filósofo y estadista británico.,SOCIEDAD,RELIGIÓN,DIOS,NULL,,,
"El aprendizaje es un simple apéndice de nosotros mismos; dondequiera que estemos, está también nuestro aprendizaje.",William Shakespeare (1564-1616) Escritor británico.,MISCELÁNEA,ACCIÓN,NULL,NULL,,,
"El amor puede hacerlo todo, y también lo contrario de todo.",Alberto Moravia (1907-1990) Alberto Pincherle. Escritor italiano.,SOCIEDAD,RELIGIÓN,DIOS,NULL,,,
El amor no es sólo un sentimiento. Es también un arte.,Honoré de Balzac (1799-1850) Escritor francés.,SOCIEDAD,RELIGIÓN,DIOS,NULL,,,
El amor es una comedia en la cual los actos son muy cortos y los entreactos más largos: ¿cómo llenar los intermedios sino mediante el ingenio?.,Ninon de Lenclos (1620-1705) Cortesana francesa.,MISCELÁNEA,DESGRACIA,NULL,NULL,,,
"El amor es un niño grande; las mujeres, su juguete.",Severo Catalina (1832-1871) Periodista y escritor español.,MISCELÁNEA,FRACASO,NULL,NULL,,,
El amor es un juego; el casamiento un negocio.,Alberto Moravia (1907-1990) Alberto Pincherle. Escritor italiano.,MISCELÁNEA,DESGRACIA,NULL,NULL,,,
El amor es la poesía de los sentidos. Pero hay poesías malísimas.,"Antonio Gala (1930-?) Dramaturgo, poeta y novelista español.",DEFECTOS,MISOGINIA,NULL,NULL,,,
El amor es la más noble flaqueza del espíritu.,John Dryden (1631-1700) Escritor inglés,ARTE,LITERATURA,LIBROS,NULL,,,
El amor es la historia de la vida de las mujeres y un episodio en la de los hombres.,Germaine de Staël (1766-1817) Escritora e intelectual francesa.,MISCELÁNEA,DESCANSO,NULL,NULL,,,
El amor es a menudo fruto del matrimonio.,Molière (1622-1673) Comediografo francés.,MISCELÁNEA,MORIR,NULL,NULL,,,
El agnosticismo simplemente significa que una persona no dirá que sabe o cree aquello para lo que no tiene bases para sostener que cree.,"Aldous Huxley (1894-1963) Novelista, ensayista y poeta inglés.",MISCELÁNEA,SIN CLASIFICAR,NULL,NULL,,,
Donde hay concordia siempre hay victoria.,Publio Siro (Siglo I AC-?) Poeta dramático romano.,SOCIEDAD,COSTUMBRE,NULL,NULL,,,
Dólares: Son esos imprudentes billetes americanos que tienen diverso valor y el mismo tamaño.,Jorge Luis Borges (1899-1986) Escritor argentino.,SOCIEDAD,DINERO,RIQUEZA,NULL,,,
Dios: lo más evidente y lo más misterioso.,Herni Dominique Lacordaire (1802-1861) Sacerdote y predicador francés.,MISCELÁNEA,PLACERES,NULL,NULL,,,
"Dios, que es acto puro y no tiene nada de potencialidad, tiene un poder activo infinito sobre las demás cosas.",Santo Tomás de Aquino (1224-1274) Filósofo y teólogo.,SENTIMIENTOS,ESPERANZA,NULL,NULL,,,
Dios nos ha dado la lengua para que podamos decir cosas amables a nuestros amigos y duras verdades a nuestros enemigos.,Heinrich Heine (1797-1856) Poeta alemán.,MISCELÁNEA,ADULACIÓN,NULL,NULL,,,
Dios no recibe respuestas con palabras.,Lao-tsé (570 aC-490 aC) Filósofo chino.,NATURALEZA,VIDA,NULL,NULL,,,
Dios no habría alcanzado nunca al gran público sin ayuda del diablo.,"Jean Cocteau (1889-1963) Escritor, pintor, coreógrafo.",SOCIEDAD,VIAJES,VIAJAR,NULL,,,
"Dios no escucha vuestras palabras, salvo cuando él mismo las profiere a través de vuestros labios.","Khalil Gibran (1883-1931) Ensayista, novelista y poeta libanés.",PENSAMIENTO Y RAZÓN,ENTENDIMIENTO,NULL,NULL,,,
"Diferentes en la vida, los hombres son semejantes en la muerte.",Lao-tsé (570 aC-490 aC) Filósofo chino.,MISCELÁNEA,ENGAÑO,NULL,NULL,,,
Dichas que se pierden son desdichas más grandes.,Pedro Calderón de la Barca (1600-1681) Dramaturgo y poeta español.,MISCELÁNEA,ENFERMEDAD,NULL,NULL,,,
"Después de un fracaso, los planes mejor elaborados parecen absurdos.",Fiodor Dostoievski (1821-1881) Novelista ruso.,CUALIDADES,BELLEZA,NULL,NULL,,,
Desdichado es el que por tal se tiene.,Séneca (2 AC-65) Filósofo latino.,CUALIDADES,HUMOR,NULL,NULL,,,
"Desde la edad de seis años, la mujer no crece más que en dimensiones.",Severo Catalina (1832-1871) Periodista y escritor español.,SENTIMIENTOS,ABURRIMIENTO,NULL,NULL,,,
Desde el momento en que cogí su libro me caí al suelo rodando de risa. Algún día espero leerlo.,Groucho Marx (1890-1977) Actor estadounidense.,NATURALEZA,SER HUMANO,NULL,NULL,,,
Descansar demasiado es oxidarse.,Walter Scott (1771-1832) Escritor británico.,SOCIEDAD,MATRIMONIO,NULL,NULL,,,
De nada sirve morir. Hay que hacerlo a tiempo.,Jules Renard (1864-1910) Escritor y dramaturgo francés.,MISCELÁNEA,APARIENCIA,NULL,NULL,,,
"De devociones absurdas y santos amargados, líbranos, Señor.",Santa Teresa de Jesús (1515-1582) Escritora mística española.,PENSAMIENTO Y RAZÓN,ESPÍRITU,NULL,NULL,,,
Cultiva sólo aquellos hábitos que quisieras que dominaran tu vida.,Elbert Hubbard (1856-1915) Ensayista estadounidense.,SOCIEDAD,POLÍTICA,POLÍTICOS,NULL,,,
"Cuanto mayor la riqueza, más espesa la suciedad.",John Kenneth Galbraith (1908-2006) Econonista estadounidense.,PENSAMIENTO Y RAZÓN,PENSAMIENTO,PENSAR,NULL,,,
"Cuanto más nos inclina la naturaleza a los placeres, tanto más propensos somos a la licencia que a la decencia.",Aristóteles (384 AC-322 AC) Filósofo griego.,SOCIEDAD,LEYES,NULL,NULL,,,
Cuando uno pierde la esperanza se vuelve reaccionario.,Jorge Guillén (1893-1984) Poeta español.,SENTIMIENTOS,FELICIDAD,NULL,NULL,,,
"Cuando se es ensalzado por el enemigo, es que se ha hecho algo mal.",Amintore Fanfani (1908-1999) Político y economista italiano.,CUALIDADES,GRANDEZA,NULL,NULL,,,
"Cuando más desquiciada está la vida de la mente, más abandonada a sí misma queda la máquina de la materia.",Goethe (1749-1832) Poeta y dramaturgo alemán.,MISCELÁNEA,DESTINO,NULL,NULL,,,
Cuando los hombres buscan la diversidad viajan.,"Wenceslao Fernández Florez (1879-1964) Novelista, periodista y político español.",SOCIEDAD,GUERRA,NULL,NULL,,,
"Cuando leemos demasiado deprisa o demasiado despacio, no entendemos nada.","Blaise Pascal (1623-1662) Científico, filósofo y escritor francés.",MISCELÁNEA,ADULACIÓN,NULL,NULL,,,
Cuando la estafa es enorme ya toma un nombre decente.,Ramón Pérez de Ayala (1881-1962) Escritor y periodista español.,MISCELÁNEA,NULL,NULL,NULL,,,
"Cuando gozamos de salud, fácilmente damos buenos consejos a los enfermos.",Tácito (55-115) Historiador romano.,SOCIEDAD,LIBERTAD,NULL,NULL,,,
"Cuando envejecemos, la belleza se convierte en cualidad interior.",Emerson (1803-1882) Poeta y pensador estadounidense.,MISCELÁNEA,NULL,NULL,NULL,,,
Cuando al tirano se le puede llamar tirano el humor deja de ser necesario.,Cándido (1928-2006) Escritor y periodista español.,CUALIDADES,MESURA,NULL,NULL,,,
Conviene siempre esforzarse más en ser interesante que exacto; porque el espectador lo perdona todo menos el sopor.,Voltaire (1694-1778) Filósofo y escritor francés.,SOCIEDAD,EDUCACIÓN,APRENDER,NULL,,,
"Considerando en frío, imparcialmente, que el hombre es triste, tose, y sin embargo se complace en su pecho colorado.",César Vallejo (1892-1938) Poeta peruano.,SOCIEDAD,EDUCACIÓN,APRENDER,NULL,,,
Conozco a centenares de maridos que serían felices de volver al hogar si no hubiese una esposa esperándoles.,Groucho Marx (1890-1977) Actor estadounidense.,MISCELÁNEA,REVERENCIA,NULL,NULL,,,
Con veinte años todos tienen el rostro que Dios les ha dado; con cuarenta el rostro que les ha dado la vida y con sesenta el que se merecen.,"Albert Schweitzer (1875-1965) Filósofo, médico y escritor alemán.",SOCIEDAD,GOBIERNO,NULL,NULL,,,
Con el espíritu sucede lo mismo que con el estómago: sólo puede confiársele aquello que pueda digerir.,Winston Churchill (1874-1965) Político británico.,MISCELÁNEA,FAVOR,NULL,NULL,,,
"Como los políticos nunca creen lo que dicen, se sorprenden cuando alguien sí lo cree.",Charles de Gaulle (1890-1970) Poltíco francés.,MISCELÁNEA,NULL,NULL,NULL,,,
"Colectividad que no sabe pensar, no puede vivir.",Concepción Arenal (1820-1893) Escritora y socióloga española.,MISCELÁNEA,SECRETO,NULL,NULL,,,
Casi todos los crímenes que castiga la ley se deben al hambre.,René de Chateaubriand (1768-1848) Diplomático y escritor francés.,CUALIDADES,PUREZA,NULL,NULL,,,
Cada uno es tan infeliz como cree.,Giacomo Leopardi (1798-1837) Poeta y erudito italiano.,SOCIEDAD,MODAS,NULL,NULL,,,
Cada persona forja su propia grandeza. Los enanos permanecerán enanos aunque se suban a los Alpes.,August von Kotzebue (1761-1819) Dramaturgo alemán.,TIEMPO,JUVENTUD,NULL,NULL,,,
Cada hombre tiene que inventar su camino.,Jean Paul Sartre (1905-1980) Filósofo y escritor francés.,SOCIEDAD,LIBERTAD,NULL,NULL,,,
Cada guerra es una destrucción del espíritu humano.,Henry Miller (1891-1980) Escritor estadounidense.,MISCELÁNEA,NULL,NULL,NULL,,,
"Bien puede haber puñalada sin lisonja, mas pocas veces hay lisonja sin puñalada.",Francisco de Quevedo (1580-1645) Escritor español.,SOCIEDAD,DINERO,RIQUEZA,NULL,,,
"Bien mirados, todos nos ocultamos, completamente desnudos, en los vestidos que usamos.",Heinrich Heine (1797-1856) Poeta alemán.,MISCELÁNEA,MAYORÍA,NULL,NULL,,,
"Bendito sea el caos, porque es síntoma de libertad.",Enrique Tierno Galván (1918-1986) Político e intelectual español.,ARTE,NULL,NULL,NULL,,,
Asombro: lo más elevado a que puede llegar el hombre.,Goethe (1749-1832) Poeta y dramaturgo alemán.,PENSAMIENTO Y RAZÓN,RECUERDOS,RECORDAR,NULL,,,
"Así como la verdad se produce por la medida, así la medida se produce por la verdad.",San Agustín (354-430) Obispo y filósofo.,SOCIEDAD,POPULARIDAD,NULL,NULL,,,
"Aprender es como remar contra corriente: en cuanto se deja, se retrocede.",Edward Benjamin Britten (1913-1976) Compositor británico.,NATURALEZA,SER HUMANO,NULL,NULL,,,
"Algunas personas nunca aprenden nada, porque todo lo comprenden demasiado pronto.",Alexander Pope (1688-1744) Poeta inglés.,SENTIMIENTOS,AMOR,PASIÓN,NULL,,,
"Al hacer una profunda reverencia a alguien, siempre se vuelve la espalda a algún otro.",Ferdinand Galiani (1728-1787) Diplomático y economista italiano.,PENSAMIENTO Y RAZÓN,PENSAMIENTO,PENSAR,NULL,,,
Al gobernar aprendí a pasar de la ética de los principios a la ética de las responsabilidades.,Felipe González Márquez (1942-?) Político español.,SOCIEDAD,GOBIERNO,NULL,NULL,,,
Aceptar un favor de un amigo es hacerle otro.,John Churton Collins (1848-1908) Crítico literario inglés.,SOCIEDAD,LIBERTAD,NULL,NULL,,,
Abstemio: Persona débil que cae en la tentación de negarse a sí misma un placer.,Ambrose Bierce (1842-1914) Escritor estadounidense.,SENTIMIENTOS,AMOR,NULL,NULL,,,
A quien dices el secreto das tu libertad.,Fernando de Rojas (1465-1541) Escritor español autor de La Celestina.,PENSAMIENTO Y RAZÓN,MEMORIA,NULL,NULL,,,
A los puros todas las cosas les parecen puras.,San Pablo (10-62) Primer teólogo del cristianismo y el más important,SOCIEDAD,LEYES,NULL,NULL,,,
A las mujeres les gusta la moda porque toda novedad es siempre un reflejo de la juventud.,Madeleine de Scudéry (1607-1701) Novelista francesa.,SENTIMIENTOS,ENEMISTAD,NULL,NULL,,,
"A diferencia de la vejez, que siempre está de más, lo característico de la juventud es que siempre está de moda.",Fernando Savater (1947-?) Filósofo español.,MISCELÁNEA,ACCIÓN,NULL,NULL,,,
¿Quién es libre? Sólo el que sabe dominar sus pasiones.,Horacio (65 AC-8 AC) Poeta latino.,MISCELÁNEA,POSESIÓN,NULL,NULL,,,
¿Qué es un espíritu cultivado? Es el que puede mirar las cosas desde muchos puntos de vista.,Henry F. Amiel (1821-1881) Escritor suizo.,SENTIMIENTOS,ALEGRÍA,NULL,NULL,,,
"¿Qué es la riqueza? Nada, si no se gasta; nada, si se malgasta.",André Breton (1896-1966) Poeta y crítico francés.,SOCIEDAD,EDUCACIÓN,APRENDER,NULL,,,
¿Qué es la mayoría? La mayoría es un absurdo: la inteligencia ha sido siempre de los pocos.,Friedrich Schiller (1759-1805) Poeta y dramaturgo alemán,MISCELÁNEA,NULL,NULL,NULL,,,
"¿Qué es el arte, sino una manera de ver?",Thomas Louis Berger (1924-?) Novelista norteamericano.,MISCELÁNEA,SALUD,NULL,NULL,,,
"¿Que por qué estaba yo con esa mujer? Porque me recuerda a ti. De hecho, me recuerda a ti más que tú.",Groucho Marx (1890-1977) Actor estadounidense.,CUALIDADES,NULL,NULL,NULL,,,
¿Popularidad? Eso es la gloria en centavos.,Victor Hugo (1802-1885) Novelista francés.,CUALIDADES,CARÁCTER,NULL,NULL,,,
"¿No te parece, que es una vergüenza para el hombre, que le suceda lo que a los más irracionales de los animales?",Sócrates (470 AC-399 AC) Filósofo griego.,MISCELÁNEA,PROBLEMAS,NULL,NULL,,,
"¿La envidia, el odio, la lujuria…, todas esas pasiones han sido arrojadas del alma para que ésta no sea sino una pieza de hielo?",Henry Moore (1898-1986) Escultor británico.,MISCELÁNEA,ERRORES,NULL,NULL,,,
¿Cuál es la tarea más difícil del mundo? Pensar.,Emerson (1803-1882) Poeta y pensador estadounidense.,MISCELÁNEA,DIFICULTADES,NULL,NULL,,,
¿Cuál es el mejor gobierno? El que nos enseña a gobernarnos a nosotros mismos.,Goethe (1749-1832) Poeta y dramaturgo alemán.,NATURALEZA,SER HUMANO,NULL,NULL,,,
¡Quieren ser libres y no saben ser justos!,Emmanuel Joseph Sieyès (1748-1836) Político francés.,DEFECTOS,IGNORANCIA,NULL,NULL,,,
¡Qué sabios son aquellos que únicamente son tontos en el amor!,James Cook (1728-1779) Explorador y navegante inglés.,MISCELÁNEA,CONOCER,NULL,NULL,,,
¡Qué pobre memoria es aquélla que sólo funciona hacia atrás!,Lewis Carroll (1832-1898) Matemático y escritor británico.,SOCIEDAD,LEYES,JUSTICIA,NULL,,,
"¡Oh legislador! No me des leyes para los pueblos, sino pueblos para las leyes.",Pitágoras de Samos (582 AC-497 AC) Filósofo y matemático griego.,MISCELÁNEA,TRAICIÓN,NULL,NULL,,,
¡Dios me libre de enemistades de amigos!,"Lope de Vega (1562-1635) Poeta, novelista y dramaturgo español.",SOCIEDAD,LEYES,JUSTICIA,NULL,,,
"¡Arriba, haragán! ¡No desperdicies la vida! Ya dormirás bastante en la sepultura.",Benjamin Franklin (1706-1790) Estadista y científico estadounidense.,DEFECTOS,MALDAD,NULL,NULL,,,
"De las cosas que tienes, escoge las mejores y después medita cuán afanosamente las hubieras buscado si no las tuvieras.",Marco Aurelio (121-180) Emperador romano.,CUALIDADES,RECTITUD,NULL,NULL,,,
"La alegría, cuanto más se gasta más queda.",Emerson (1803-1882) Poeta y pensador estadounidense.,MISCELÁNEA,CONOCER,NULL,NULL,,,
"A pesar de que ya soy mayor, sigo aprendiendo de mis discípulos.","Cicerón (106 AC-43 AC) Escritor, orador y político romano.",PENSAMIENTO Y RAZÓN,MENTE,NULL,NULL,,,
El horizonte está en los ojos y no en la realidad.,"Ángel Ganivet (1865-1898) Escritor, ensayista y narrador español.",NATURALEZA,VIDA,VIVIR,NULL,,,
"La posesión de la salud es como la de la hacienda, que se goza gastándola, y si no se gasta, no se goza.",Francisco de Quevedo (1580-1645) Escritor español.,NATURALEZA,NULL,NULL,NULL,,,
"No se debe juzgar a un hombre por sus cualidades, sino por el uso que hace de ellas.",François de La Rochefoucauld (1613-1680) Escritor francés.,DEFECTOS,NECEDAD,NULL,NULL,,,
"El carácter es como el acróstico o la estrofa alejandrina: puede leerse desde el principio, desde el final o en cruz: siempre dice lo mismo.",Emerson (1803-1882) Poeta y pensador estadounidense.,SOCIEDAD,CONDUCTA,NULL,NULL,,,
"Aunque todas las posibles preguntas de la ciencia recibiesen respuesta, ni siquiera rozarían los verdaderos problemas de nuestra vida.","Ludwig Wittgenstein (1889-1951) Filósofo británico, de origen austríaco.",CUALIDADES,VIRTUD,NULL,NULL,,,
Los hombres se equivocan con más frecuencia por demasiado listos que por demasiado buenos.,George Bernard Shaw (1856-1950) Escritor irlandés.,MISCELÁNEA,UNIVERSO,NULL,NULL,,,
Ninguna situación es tan grave que no sea susceptible de empeorar.,Federico II (1712-1786) Emperador de Prusia.,NATURALEZA,SER HUMANO,PREVENIR,NULL,,,
